incident_id,full_name,sex,home_address,phone_number,incident_date,incident_time,location,incident_category,resolution,injury_reported,property_damage,fault_determination,incident_description
2025-SJ-496662,Christopher Smith,M,"1600 block of Monterey Rd, San Jose, CA 95128",(669) 555-0151,2025-09-14,02:45,"Story Rd & Capitol Expy, San Jose, CA 95116",DUI Related Collision,Report Taken,Yes,Yes,No,"DUI Related Collision reported at Story Rd & Capitol Expy, San Jose, CA 95116. He sustained minor injury to the shoulder. Body-worn camera available."
2025-SM-179269,Carla Hernandez,F,"1000 block of Hillsdale Blvd, San Mateo, CA 94403",(650) 555-0196,2025-09-26,17:55,"Hillsdale Blvd & 3rd Ave, San Mateo, CA 94402",Rideshare Incident (Uber/Lyft),Open or Active Investigation,Yes,No,Undetermined,"Rideshare Incident (Uber/Lyft) reported at Hillsdale Blvd & 3rd Ave, San Mateo, CA 94402. She sustained minor injury to the knee. Body-worn camera available."
2025-RC-721977,Angelica Garcia,F,"500 block of Woodside Rd, Redwood City, CA 94063",(650) 555-0172,2025-09-15,01:20,"Woodside Rd & Jefferson Ave, Redwood City, CA 94063",E-Scooter Collision,Report Taken,Yes,Yes,No,"E-Scooter Collision reported at Woodside Rd & Jefferson Ave, Redwood City, CA 94063. She sustained moderate injury to the leg. Transported to Zuckerberg San Francisco General Hospital by SFFD EMS. Body-worn camera available."
2025-SF-567459,Nisha Singh,F,"800 block of Folsom St, San Francisco, CA 94112",(415) 555-0185,2025-09-10,04:40,"Mission St & Van Ness Ave, San Francisco, CA 94124",Hit and Run,Report Taken,Yes,Yes,Yes,"Hit and Run reported at Mission St & Van Ness Ave, San Francisco, CA 94124. She sustained minor injury to the hand. Body-worn camera available."
2025-B-130062,Pooja Kumar,F,"900 block of Telegraph Ave, Berkeley, CA 94703",(510) 555-0194,2025-09-03,16:05,"Shattuck Ave & Ashby Ave, Berkeley, CA 94702",Hit and Run,Open or Active Investigation,Yes,Yes,Yes,"Hit and Run reported at Shattuck Ave & Ashby Ave, Berkeley, CA 94702. She sustained minor injury to the leg. Body-worn camera available."
2025-DC-761617,Kevin Zhou,M,"800 block of John Daly Blvd, Daly City, CA 94015",(650) 555-0124,2025-09-17,15:05,"Gellert Blvd & John Daly Blvd, Daly City, CA 94014",Dog Bite,Report Taken,Yes,No,Undetermined,"Dog Bite occurred at Gellert Blvd & John Daly Blvd, Daly City, CA 94014. He sustained moderate injury to the hip. Transported to Zuckerberg San Francisco General Hospital by Falck. Body-worn camera not available."
2025-SM-234580,Carlos Martinez,M,"100 block of El Camino Real, San Mateo, CA 94402",(650) 555-0132,2025-09-23,11:50,"3rd Ave & Delaware St, San Mateo, CA 94402",Hit and Run,Citation Issued,Yes,Yes,Yes,"Hit and Run reported at 3rd Ave & Delaware St, San Mateo, CA 94402. He sustained moderate injury to the hip. Transported to Stanford Hospital by Rural/Metro. Body-worn camera available."
2025-RC-733671,Joy Ramos,F,"700 block of Woodside Rd, Redwood City, CA 94063",(650) 555-0126,2025-09-06,04:25,"Woodside Rd & Broadway, Redwood City, CA 94063",DUI Related Collision,Report Taken,Yes,Yes,Yes,"DUI Related Collision reported at Woodside Rd & Broadway, Redwood City, CA 94063. She sustained minor injury to the face. Body-worn camera not available."
2025-RC-867655,Emily Smith,F,"1300 block of Woodside Rd, Redwood City, CA 94061",(650) 555-0104,2025-09-03,20:50,"Woodside Rd & Jefferson Ave, Redwood City, CA 94061",DUI Related Collision,"Arrest, Booked",Yes,Yes,Yes,"DUI Related Collision reported at Woodside Rd & Jefferson Ave, Redwood City, CA 94061. She sustained minor injury to the chest. Body-worn camera available."
2025-SM-380124,Emily Huang,F,"100 block of Delaware St, San Mateo, CA 94401",(650) 555-0184,2025-09-02,11:05,"Hillsdale Blvd & Delaware St, San Mateo, CA 94403",Bicycle Collision - Solo,Open or Active Investigation,Yes,Yes,Undetermined,"Bicycle Collision - Solo reported at Hillsdale Blvd & Delaware St, San Mateo, CA 94403. She sustained minor injury to the head. Body-worn camera available."
2025-DC-409440,Eric Wu,M,"1900 block of Gellert Blvd, Daly City, CA 94014",(650) 555-0106,2025-09-01,13:25,"Serramonte Blvd & John Daly Blvd, Daly City, CA 94015",Hit and Run,Report Taken,Yes,Yes,Undetermined,"Hit and Run reported at Serramonte Blvd & John Daly Blvd, Daly City, CA 94015. He sustained minor injury to the chest. Body-worn camera available."
2025-DC-909938,Jennifer Young,F,"1600 block of Gellert Blvd, Daly City, CA 94014",(650) 555-0113,2025-09-27,21:20,"John Daly Blvd & Gellert Blvd, Daly City, CA 94014",Transit Incident - BART,Report Taken,Yes,No,Undetermined,"Transit Incident - BART reported at John Daly Blvd & Gellert Blvd, Daly City, CA 94014. She sustained moderate injury to the head. Transported to Kaiser Oakland by Falck. Body-worn camera available."
2025-SJ-335113,Raj Singh,M,"600 block of Capitol Expy, San Jose, CA 95128",(669) 555-0144,2025-09-07,08:25,"Santa Clara St & Monterey Rd, San Jose, CA 95116",Slip/Trip and Fall (Public Way),Report Taken,Yes,No,Undetermined,"Slip/Trip and Fall (Public Way) occurred at Santa Clara St & Monterey Rd, San Jose, CA 95116. He sustained moderate injury to the arm. Transported to UCSF Parnassus by Rural/Metro. Body-worn camera not available."
2025-DC-972470,David Smith,M,"900 block of John Daly Blvd, Daly City, CA 94015",(650) 555-0117,2025-09-26,14:00,"Serramonte Blvd & John Daly Blvd, Daly City, CA 94015",Slip/Trip and Fall (Public Way),Open or Active Investigation,Yes,No,Undetermined,"Slip/Trip and Fall (Public Way) occurred at Serramonte Blvd & John Daly Blvd, Daly City, CA 94015. He sustained moderate injury to the hip. Transported to San Mateo Medical Center by Rural/Metro. Body-worn camera available."
2025-DC-455804,Tony Chen,M,"800 block of Gellert Blvd, Daly City, CA 94014",(650) 555-0127,2025-08-30,00:45,"Gellert Blvd & Mission St, Daly City, CA 94015",Slip/Trip and Fall (Public Way),Report Taken,Yes,No,Undetermined,"Slip/Trip and Fall (Public Way) occurred at Gellert Blvd & Mission St, Daly City, CA 94015. He sustained moderate injury to the knee. Transported to Zuckerberg San Francisco General Hospital by AMR. Body-worn camera available."
2025-H-402935,Angelo Flores,M,"1600 block of Hesperian Blvd, Hayward, CA 94545",(925) 555-0133,2025-08-31,15:40,"Hesperian Blvd & Tennyson Rd, Hayward, CA 94541",Traffic Collision - Vehicle vs Bicycle,Citation Issued,Yes,Yes,Undetermined,"Traffic Collision - Vehicle vs Bicycle reported at Hesperian Blvd & Tennyson Rd, Hayward, CA 94541. He sustained moderate injury to the wrist. Transported to San Mateo Medical Center by Rural/Metro. Body-worn camera available."
2025-O-142745,Christopher King,M,"1200 block of Telegraph Ave, Oakland, CA 94602",(510) 555-0126,2025-09-02,22:40,"San Pablo Ave & International Blvd, Oakland, CA 94612",Assault - Non-Aggravated,Report Taken,Yes,No,Undetermined,"Assault - Non-Aggravated occurred at San Pablo Ave & International Blvd, Oakland, CA 94612. He sustained moderate injury to the back. Transported to San Mateo Medical Center by SFFD EMS. Body-worn camera available."
2025-DC-327436,James Harris,M,"900 block of Gellert Blvd, Daly City, CA 94014",(650) 555-0112,2025-09-21,21:55,"Gellert Blvd & Serramonte Blvd, Daly City, CA 94014",Transit Incident - BART,"Arrest, Booked",Yes,No,Undetermined,"Transit Incident - BART reported at Gellert Blvd & Serramonte Blvd, Daly City, CA 94014. He sustained severe injury to the ankle. Transported to San Mateo Medical Center by Falck. Body-worn camera available."
2025-F-414093,Jessica Thompson,F,"1400 block of Mission Blvd, Fremont, CA 94539",(510) 555-0130,2025-08-28,18:15,"Grimmer Blvd & Automall Pkwy, Fremont, CA 94539",Assault - Aggravated,Citation Issued,Yes,No,Undetermined,"Assault - Aggravated occurred at Grimmer Blvd & Automall Pkwy, Fremont, CA 94539. She sustained minor injury to the ankle. Body-worn camera not available."
2025-SM-498122,Sanjay Singh,M,"400 block of El Camino Real, San Mateo, CA 94403",(650) 555-0102,2025-09-07,01:30,"Hillsdale Blvd & El Camino Real, San Mateo, CA 94403",Construction Site Accident,"Arrest, Booked",Yes,No,Undetermined,"Construction Site Accident occurred at Hillsdale Blvd & El Camino Real, San Mateo, CA 94403. He sustained moderate injury to the face. Transported to Kaiser Oakland by AMR. Body-worn camera available."
2025-H-963711,Priya Gupta,F,"1500 block of Hesperian Blvd, Hayward, CA 94541",(925) 555-0156,2025-09-27,08:40,"A St & Tennyson Rd, Hayward, CA 94544",Transit Incident - Muni,"Arrest, Booked",Yes,No,Undetermined,"Transit Incident - Muni reported at A St & Tennyson Rd, Hayward, CA 94544. She sustained minor injury to the hip. Body-worn camera not available."
2025-SF-966156,Ashley Allen,F,"1600 block of Folsom St, San Francisco, CA 94124",(628) 555-0165,2025-09-25,11:30,"Geary Blvd & 24th St, San Francisco, CA 94117",Assault - Non-Aggravated,Open or Active Investigation,Yes,No,Undetermined,"Assault - Non-Aggravated occurred at Geary Blvd & 24th St, San Francisco, CA 94117. She sustained moderate injury to the neck. Transported to UCSF Parnassus by SFFD EMS. Body-worn camera available."
2025-B-494710,Quyen Dang,F,"2000 block of San Pablo Ave, Berkeley, CA 94702",(510) 555-0192,2025-09-01,18:20,"Telegraph Ave & San Pablo Ave, Berkeley, CA 94702",Assault - Non-Aggravated,Citation Issued,Yes,No,Undetermined,"Assault - Non-Aggravated occurred at Telegraph Ave & San Pablo Ave, Berkeley, CA 94702. She sustained moderate injury to the wrist. Transported to San Mateo Medical Center by AMR. Body-worn camera available."
2025-SM-973266,Jose Sanchez,M,"1100 block of Hillsdale Blvd, San Mateo, CA 94403",(650) 555-0136,2025-09-03,19:20,"Hillsdale Blvd & 3rd Ave, San Mateo, CA 94402",Assault - Aggravated,Open or Active Investigation,Yes,No,Undetermined,"Assault - Aggravated occurred at Hillsdale Blvd & 3rd Ave, San Mateo, CA 94402. He sustained minor injury to the hand. Body-worn camera not available."
2025-B-858046,Daniel Taylor,M,"1700 block of Telegraph Ave, Berkeley, CA 94710",(510) 555-0168,2025-09-05,21:25,"University Ave & Telegraph Ave, Berkeley, CA 94703",Assault - Non-Aggravated,Open or Active Investigation,Yes,No,Undetermined,"Assault - Non-Aggravated occurred at University Ave & Telegraph Ave, Berkeley, CA 94703. He sustained moderate injury to the knee. Transported to San Mateo Medical Center by AMR. Body-worn camera available."
2025-B-324555,Emily Johnson,F,"1800 block of Ashby Ave, Berkeley, CA 94704",(510) 555-0171,2025-09-07,07:00,"San Pablo Ave & Ashby Ave, Berkeley, CA 94702",Construction Site Accident,Report Taken,Yes,No,Undetermined,"Construction Site Accident occurred at San Pablo Ave & Ashby Ave, Berkeley, CA 94702. She sustained minor injury to the shoulder. Body-worn camera available."
2025-RC-174232,Francis Ramos,M,"1900 block of El Camino Real, Redwood City, CA 94061",(650) 555-0108,2025-09-14,07:00,"Jefferson Ave & El Camino Real, Redwood City, CA 94061",Rideshare Incident (Uber/Lyft),Unfounded,Yes,No,Undetermined,"Rideshare Incident (Uber/Lyft) reported at Jefferson Ave & El Camino Real, Redwood City, CA 94061. He sustained minor injury to the knee. Body-worn camera available."
2025-SM-691816,Arjun Shah,M,"1500 block of El Camino Real, San Mateo, CA 94403",(650) 555-0189,2025-09-23,03:55,"El Camino Real & Hillsdale Blvd, San Mateo, CA 94403",Traffic Collision - Vehicle vs Bicycle,Citation Issued,Yes,Yes,Yes,"Traffic Collision - Vehicle vs Bicycle reported at El Camino Real & Hillsdale Blvd, San Mateo, CA 94403. He sustained severe injury to the hip. Transported to Santa Clara Valley Medical Center by Falck. Body-worn camera available."
2025-RC-729796,Alex Hall,X,"100 block of Woodside Rd, Redwood City, CA 94061",(650) 555-0146,2025-09-22,22:50,"Broadway & Woodside Rd, Redwood City, CA 94061",Transit Incident - Muni,Report Taken,Yes,No,Undetermined,"Transit Incident - Muni reported at Broadway & Woodside Rd, Redwood City, CA 94061. They sustained minor injury to the knee. Body-worn camera available."
2025-B-201385,Olivia King,F,"1000 block of San Pablo Ave, Berkeley, CA 94703",(510) 555-0129,2025-09-11,20:00,"Telegraph Ave & Ashby Ave, Berkeley, CA 94702",Transit Incident - BART,Citation Issued,Yes,No,Undetermined,"Transit Incident - BART reported at Telegraph Ave & Ashby Ave, Berkeley, CA 94702. She sustained moderate injury to the leg. Transported to Highland Hospital (Oakland) by SFFD EMS. Body-worn camera available."
2025-B-375278,Maria Sanchez,F,"200 block of Telegraph Ave, Berkeley, CA 94705",(510) 555-0199,2025-09-25,17:40,"San Pablo Ave & Telegraph Ave, Berkeley, CA 94703",Assault - Aggravated,Citation Issued,Yes,No,Undetermined,"Assault - Aggravated occurred at San Pablo Ave & Telegraph Ave, Berkeley, CA 94703. She sustained minor injury to the knee. Body-worn camera available."
2025-SF-910781,Marcus Lee,M,"400 block of Pine St, San Francisco, CA 94108",(415) 555-0198,2025-09-18,22:35,"Pine St & Kearny St, San Francisco, CA 94108",Noise Complaint,Verbal Warning,No,No,Not Applicable,Officers responded to loud amplified music from a rooftop gathering; hosts complied after a warning. No injuries reported.
2025-OA-552194,Tanya Brown,F,"1200 block of Lakeshore Ave, Oakland, CA 94606",(510) 555-0134,2025-09-17,14:05,"Lakeshore Ave & MacArthur Blvd, Oakland, CA 94610",Fraud Report,Report Taken,No,Yes,Under Investigation,"Resident reported unauthorized credit card charges totaling $2,300 following a phishing phone scam. Documentation collected for follow-up."
2025-SJ-337420,Diego Ramirez,M,"600 block of Almaden Ave, San Jose, CA 95110",(408) 555-0181,2025-09-19,03:10,"San Carlos St & Market St, San Jose, CA 95113",Suspicious Vehicle,Cleared - Unable to Locate,No,No,Not Applicable,Caller reported a van idling with its lights off in a commercial lot. Units canvassed the area; vehicle was gone on arrival.
2025-PA-774015,Avery Chen,Non-Binary,"900 block of Middlefield Rd, Palo Alto, CA 94301",(650) 555-0120,2025-09-15,11:40,"University Ave & Bryant St, Palo Alto, CA 94301",Welfare Check,Assisted,No,No,Not Applicable,Officers checked on an elderly male sleeping on a bench; medics evaluated him and transported voluntarily for care.
2025-EM-661729,Jordan Patel,M,"500 block of Elk Grove Blvd, Elk Grove, CA 95758",(916) 555-0179,2025-09-14,08:55,"Laguna Blvd & Bruceville Rd, Elk Grove, CA 95758",School Resource Assist,Mediated,No,No,Not Applicable,Officer mediated a disagreement between two students over social media posts. Parents notified and no further action requested.
2025-H-812045,Luis Mendoza,M,"700 block of C St, Hayward, CA 94541",(510) 555-0151,2025-09-13,16:20,"Mission Blvd & Jackson St, Hayward, CA 94544",Utility Hazard,Referred to Public Works,No,No,Not Applicable,Downed tree branch resting on power lines; PG&E notified and scene secured until crew arrival. No injuries or damages reported.
2025-DC-119540,Selena Ortiz,F,"200 block of Gellert Blvd, Daly City, CA 94015",(650) 555-0109,2025-09-18,12:05,"Serramonte Center, Daly City, CA 94015",Shoplifting,Cited and Released,No,Yes,Admitted Responsibility,Loss prevention detained a subject for concealing cosmetics valued at $185. Merchandise recovered with minor packaging damage.
2025-SF-220498,Noah Williams,M,"1500 block of 9th Ave, San Francisco, CA 94122",(628) 555-0166,2025-09-12,07:50,"9th Ave & Irving St, San Francisco, CA 94122",Transit Delay,Assisted,No,No,Not Applicable,Officers responded to a stalled MUNI streetcar blocking the intersection; traffic control provided until maintenance cleared the vehicle.
2025-RC-441207,Priya Singh,F,"300 block of Brewster Ave, Redwood City, CA 94063",(650) 555-0186,2025-09-11,21:25,"Jefferson Ave & Middlefield Rd, Redwood City, CA 94063",Domestic Disturbance,Peace Restored,No,No,Not Applicable,Verbal dispute between partners over financial issues. Parties separated for the evening; no injuries or threats reported.
2025-SJ-905661,Gabriel Flores,M,"1100 block of King Rd, San Jose, CA 95116",(408) 555-0147,2025-09-10,01:40,"King Rd & Story Rd, San Jose, CA 95122",Noise Ordinance - Vehicle,Citation Issued,No,No,Driver Cited,Vehicle exhibiting loud exhaust and revving in residential zone. Driver cited for violation of local noise ordinance.
2025-B-667833,Harper Johnson,F,"2200 block of Telegraph Ave, Berkeley, CA 94704",(510) 555-0184,2025-09-09,18:10,"Telegraph Ave & Haste St, Berkeley, CA 94704",Protest Activity,Monitored,No,No,Not Applicable,Approximately 60 demonstrators marched peacefully regarding tuition concerns. Officers monitored and facilitated roadway safety.
2025-H-330912,Ethan Brooks,M,"900 block of Grove Way, Hayward, CA 94541",(510) 555-0194,2025-09-08,05:45,"Foothill Blvd & A St, Hayward, CA 94541",Commercial Burglary,Report Taken,No,Yes,Unknown,"Store owner discovered rear door pried open and cash drawer missing $1,150. CCTV footage collected for detectives."
2025-SF-778204,Leila Ahmed,F,"700 block of Haight St, San Francisco, CA 94117",(628) 555-0131,2025-09-07,12:30,"Haight St & Masonic Ave, San Francisco, CA 94117",Lost Property,Report Taken,No,No,Not Applicable,Visitor reported misplacing a backpack containing travel documents. Serial numbers entered into lost property database.
2025-SJ-511204,Isaiah Nguyen,M,"800 block of Tully Rd, San Jose, CA 95111",(669) 555-0189,2025-09-06,20:15,"Tully Rd & Senter Rd, San Jose, CA 95111",Reckless Driving,Vehicle Impounded,No,No,Driver Cited,Officer witnessed street racing activity; vehicle stopped and driver cited. Vehicle impounded for 30-day hold.
