incident_id,full_legal_name,sex,home_address_blocklevel,home_neighborhood,home_zip,phone_number,incident_date,incident_time,incident_time_of_day,location,incident_city,police_agency,incident_category,resolution,incident_description,injury_severity,injury_body_part,witnesses_count,body_worn_camera,transported_to,ems_agency,alcohol_or_drugs_suspected,collision_type,driver_at_fault,insurance_info,cad_event_id,officer_badge,victim_age
2025-RC-338306,Michael Smith,M,"1300 block of El Camino Real, Redwood City, CA 94063",Downtown,94063,(650) 555-0196,2025-09-08,08:00,Morning,"Woodside Rd & El Camino Real, Redwood City, CA 94061",Redwood City,RWC PD,Transit Incident - Muni,Citation Issued,"Transit Incident - Muni reported at Woodside Rd & El Camino Real, Redwood City, CA 94061. He sustained minor injury to the knee. Body-worn camera available.",Minor,knee,0,No,,,Yes,,,Not applicable (non-vehicle incident),CAD711259343,18807,85
2025-H-407963,James Anderson,M,"200 block of Mission Blvd, Hayward, CA 94545",Downtown,94541,(925) 555-0154,2025-09-02,22:50,Evening,"A St & Hesperian Blvd, Hayward, CA 94545",Hayward,HPD,Slip/Trip and Fall (Public Way),Report Taken,"Slip/Trip and Fall (Public Way) occurred at A St & Hesperian Blvd, Hayward, CA 94545. He sustained moderate injury to the neck. Transported to Santa Clara Valley Medical Center by Falck. Body-worn camera not available.",Moderate,neck,2,No,Santa Clara Valley Medical Center,Falck,No,,,Provided - Claimant carrier: Progressive; Coverage: Rideshare TNC coverage; Policy: 213-25XX-6197 (masked); Claim#: CLM343885,CAD633963340,34699,26
2025-SJ-512156,Andrew Clark,M,"300 block of Stevens Creek Blvd, San Jose, CA 95132",Downtown,95132,(669) 555-0148,2025-09-23,05:55,Night,"Stevens Creek Blvd & Almaden Blvd, San Jose, CA 95126",San Jose,SJPD,Assault - Non-Aggravated,Report Taken,"Assault - Non-Aggravated occurred at Stevens Creek Blvd & Almaden Blvd, San Jose, CA 95126. He sustained minor injury to the wrist. Body-worn camera available.",Minor,wrist,3,Yes,,,No,,,Not applicable (non-vehicle incident),CAD441767186,10090,80
2025-SM-463446,Maria Reyes,F,"500 block of El Camino Real, San Mateo, CA 94403",Hillsdale,94401,(650) 555-0129,2025-09-04,00:15,Night,"3rd Ave & Delaware St, San Mateo, CA 94401",San Mateo,SMPD,DUI Related Collision,Open or Active Investigation,"DUI Related Collision reported at 3rd Ave & Delaware St, San Mateo, CA 94401. She sustained minor injury to the hand. Body-worn camera not available.",Minor,hand,1,Yes,,,Yes,Dooring,No,Provided - Other party carrier: State Farm; Coverage: Non-owner policy; Policy: 958-11XX-9413 (masked); Claim#: CLM134077,CAD308868386,6443,19
2025-RC-518830,Matthew Johnson,M,"700 block of Broadway, Redwood City, CA 94061",Downtown,94063,(650) 555-0153,2025-09-02,10:45,Morning,"El Camino Real & Jefferson Ave, Redwood City, CA 94061",Redwood City,RWC PD,Traffic Collision - Vehicle vs Pedestrian,Cleared - Exceptional,"Traffic Collision - Vehicle vs Pedestrian reported at El Camino Real & Jefferson Ave, Redwood City, CA 94061. He sustained severe injury to the wrist. Transported to Stanford Hospital by Rural/Metro. Body-worn camera available.",Severe,wrist,2,No,Stanford Hospital,Rural/Metro,No,Head-on,Yes,Provided - Claimant carrier: GEICO; Coverage: Non-owner policy; Policy: 718-44XX-5922 (masked); Claim#: CLM607135,CAD634646004,64893,76
2025-DC-337378,Ricardo Hernandez,M,"400 block of Mission St, Daly City, CA 94015",Top of the Hill,94014,(650) 555-0101,2025-08-29,23:15,Evening,"Serramonte Blvd & Gellert Blvd, Daly City, CA 94015",Daly City,Daly City PD,Transit Incident - BART,Report Taken,"Transit Incident - BART reported at Serramonte Blvd & Gellert Blvd, Daly City, CA 94015. He sustained minor injury to the wrist. Body-worn camera available.",Minor,wrist,2,Yes,,,Yes,,,Provided - Other party carrier: Nationwide; Coverage: Commercial policy; Policy: 273-27XX-3574 (masked); Claim#: CLM305749,CAD519958765,71591,58
2025-SJ-572228,Jennifer Moore,F,"1000 block of Santa Clara St, San Jose, CA 95126",Willow Glen,95132,(408) 555-0172,2025-09-22,11:55,Morning,"Monterey Rd & Capitol Expy, San Jose, CA 95128",San Jose,SJPD,Traffic Collision - Vehicle vs Bicycle,Report Taken,"Traffic Collision - Vehicle vs Bicycle reported at Monterey Rd & Capitol Expy, San Jose, CA 95128. She sustained minor injury to the knee. Body-worn camera not available.",Minor,knee,3,Yes,,,No,Loss of control,No,Provided - Claimant carrier: Liberty Mutual; Coverage: Non-owner policy; Policy: 760-30XX-7643 (masked); Claim#: CLM444813,CAD134671670,62506,52
2025-DC-302566,William Johnson,M,"2000 block of Serramonte Blvd, Daly City, CA 94014",Top of the Hill,94014,(650) 555-0135,2025-09-13,19:00,Evening,"John Daly Blvd & Mission St, Daly City, CA 94015",Daly City,Daly City PD,Traffic Collision - Vehicle vs Vehicle,Report Taken,"Traffic Collision - Vehicle vs Vehicle reported at John Daly Blvd & Mission St, Daly City, CA 94015. He sustained minor injury to the back. Body-worn camera not available.",Minor,back,3,Yes,,,No,Rear-end,Yes,No proof of insurance provided,CAD449573358,44827,81
2025-B-517358,Jennifer Hall,F,"1100 block of Telegraph Ave, Berkeley, CA 94710",Elmwood,94705,(510) 555-0109,2025-09-19,19:00,Evening,"Ashby Ave & San Pablo Ave, Berkeley, CA 94702",Berkeley,BPD,E-Scooter Collision,Citation Issued,"E-Scooter Collision reported at Ashby Ave & San Pablo Ave, Berkeley, CA 94702. She sustained moderate injury to the arm. Transported to Kaiser Oakland by Falck. Body-worn camera available.",Moderate,arm,1,Yes,Kaiser Oakland,Falck,No,Side-swipe,Undetermined,Provided - Claimant carrier: Allstate; Coverage: Commercial policy; Policy: 469-44XX-6325 (masked); Claim#: CLM140636,CAD168441030,4863,27
2025-RC-281623,Andrew Smith,M,"600 block of Broadway, Redwood City, CA 94061",Redwood Oaks,94063,(650) 555-0169,2025-09-08,10:50,Morning,"El Camino Real & Jefferson Ave, Redwood City, CA 94063",Redwood City,RWC PD,Rideshare Incident (Uber/Lyft),Open or Active Investigation,"Rideshare Incident (Uber/Lyft) reported at El Camino Real & Jefferson Ave, Redwood City, CA 94063. He sustained minor injury to the back. Body-worn camera available.",Minor,back,3,Yes,,,Yes,,,Provided - Claimant carrier: State Farm; Coverage: Rideshare TNC coverage; Policy: 629-97XX-6578 (masked); Claim#: CLM846005,CAD363943960,87673,67
2025-SF-527540,Catherine Zhou,F,"1100 block of 16th St, San Francisco, CA 94121",Castro,94114,(415) 555-0199,2025-08-31,02:20,Night,"Irving St & Polk St, San Francisco, CA 94109",San Francisco,SFPD,Construction Site Accident,Citation Issued,"Construction Site Accident occurred at Irving St & Polk St, San Francisco, CA 94109. She sustained minor injury to the arm. Body-worn camera available.",Minor,arm,1,Yes,,,No,,,Provided - Claimant carrier: USAA; Coverage: Non-owner policy; Policy: 542-74XX-4366 (masked); Claim#: CLM542895,CAD668721515,84109,19
2025-SM-620999,William King,M,"1400 block of 3rd Ave, San Mateo, CA 94402",Shoreview,94401,(650) 555-0102,2025-09-20,10:55,Morning,"Hillsdale Blvd & El Camino Real, San Mateo, CA 94401",San Mateo,SMPD,Bicycle Collision - Solo,Report Taken,"Bicycle Collision - Solo reported at Hillsdale Blvd & El Camino Real, San Mateo, CA 94401. He sustained moderate injury to the leg. Transported to Zuckerberg San Francisco General Hospital by AMR. Body-worn camera available.",Moderate,leg,2,Yes,Zuckerberg San Francisco General Hospital,AMR,Yes,Loss of control,Undetermined,Provided - Other party carrier: Farmers; Coverage: Rideshare TNC coverage; Policy: 795-78XX-6717 (masked); Claim#: CLM158810,CAD200746158,70760,34
2025-SM-207921,Lucia Perez,F,"800 block of 3rd Ave, San Mateo, CA 94401",Shoreview,94402,(650) 555-0185,2025-09-03,22:25,Evening,"Hillsdale Blvd & 3rd Ave, San Mateo, CA 94403",San Mateo,SMPD,Traffic Collision - Vehicle vs Pedestrian,Report Taken,"Traffic Collision - Vehicle vs Pedestrian reported at Hillsdale Blvd & 3rd Ave, San Mateo, CA 94403. No injuries reported. Body-worn camera available.",None,,2,Yes,,,No,Loss of control,No,Declined,CAD992175688,30287,45
2025-SM-388026,Emily Zhou,F,"300 block of El Camino Real, San Mateo, CA 94402",Shoreview,94401,(650) 555-0199,2025-09-08,09:50,Morning,"Delaware St & El Camino Real, San Mateo, CA 94402",San Mateo,SMPD,Hit and Run,Report Taken,"Hit and Run reported at Delaware St & El Camino Real, San Mateo, CA 94402. She sustained minor injury to the hip. Body-worn camera available.",Minor,hip,1,Yes,,,No,,Undetermined,No proof of insurance provided,CAD889653728,82477,22
2025-F-321151,Olivia Clark,F,"300 block of Automall Pkwy, Fremont, CA 94539",Mission San Jose,94536,(510) 555-0125,2025-09-17,20:00,Evening,"Fremont Blvd & Automall Pkwy, Fremont, CA 94539",Fremont,Fremont PD,Transit Incident - Muni,Report Taken,"Transit Incident - Muni reported at Fremont Blvd & Automall Pkwy, Fremont, CA 94539. She sustained minor injury to the wrist. Body-worn camera available.",Minor,wrist,0,Yes,,,No,,,Provided - Claimant carrier: Mercury; Coverage: Non-owner policy; Policy: 931-99XX-8977 (masked); Claim#: CLM959799,CAD418177087,85454,70
2025-O-797694,Catherine Chen,F,"100 block of MacArthur Blvd, Oakland, CA 94606",Downtown,94610,(510) 555-0123,2025-09-12,04:50,Night,"Telegraph Ave & Lakeshore Ave, Oakland, CA 94609",Oakland,OPD,Assault - Non-Aggravated,Report Taken,"Assault - Non-Aggravated occurred at Telegraph Ave & Lakeshore Ave, Oakland, CA 94609. She sustained severe injury to the hip. Transported to Santa Clara Valley Medical Center by SFFD EMS. Body-worn camera available.",Severe,hip,1,Yes,Santa Clara Valley Medical Center,SFFD EMS,No,,,Provided - Claimant carrier: Allstate; Coverage: Liability only; Policy: 168-11XX-3399 (masked); Claim#: CLM671484,CAD316042326,16271,19
2025-H-288225,Sarah Clark,F,"700 block of Mission Blvd, Hayward, CA 94545",Harder-Tennyson,94541,(925) 555-0123,2025-09-15,21:45,Evening,"Tennyson Rd & A St, Hayward, CA 94545",Hayward,HPD,Rideshare Incident (Uber/Lyft),Open or Active Investigation,"Rideshare Incident (Uber/Lyft) reported at Tennyson Rd & A St, Hayward, CA 94545. No injuries reported. Body-worn camera available.",None,,0,Yes,,,Yes,,,Provided - Other party carrier: GEICO; Coverage: Full coverage; Policy: 984-18XX-8132 (masked); Claim#: CLM453269,CAD768393816,48490,37
2025-O-404679,Olivia Harris,F,"1900 block of Telegraph Ave, Oakland, CA 94606",Fruitvale,94607,(510) 555-0189,2025-09-14,23:50,Evening,"San Pablo Ave & Telegraph Ave, Oakland, CA 94612",Oakland,OPD,Traffic Collision - Vehicle vs Bicycle,"Arrest, Booked","Traffic Collision - Vehicle vs Bicycle reported at San Pablo Ave & Telegraph Ave, Oakland, CA 94612. She sustained minor injury to the leg. Body-worn camera available.",Minor,leg,5,Yes,,,Yes,Head-on,Undetermined,Unknown,CAD155635509,5585,67
2025-SF-529851,Rahul Gupta,M,"100 block of Mission St, San Francisco, CA 94114",Castro,94134,(628) 555-0174,2025-09-07,12:20,Afternoon,"Market St & Mission St, San Francisco, CA 94114",San Francisco,SFPD,Traffic Collision - Vehicle vs Bicycle,Report Taken,"Traffic Collision - Vehicle vs Bicycle reported at Market St & Mission St, San Francisco, CA 94114. He sustained minor injury to the ankle. Body-worn camera not available.",Minor,ankle,1,Yes,,,No,T-bone,Undetermined,Provided - Claimant carrier: GEICO; Coverage: Full coverage; Policy: 466-12XX-5765 (masked); Claim#: CLM482504,CAD238336759,68421,60
2025-SM-800641,Ana Garcia,F,"900 block of 3rd Ave, San Mateo, CA 94401",Downtown,94402,(650) 555-0100,2025-09-13,13:50,Afternoon,"Delaware St & El Camino Real, San Mateo, CA 94402",San Mateo,SMPD,Construction Site Accident,Open or Active Investigation,"Construction Site Accident occurred at Delaware St & El Camino Real, San Mateo, CA 94402. She sustained severe injury to the face. Transported to San Mateo Medical Center by SFFD EMS. Body-worn camera available.",Severe,face,0,No,San Mateo Medical Center,SFFD EMS,No,,,Provided - Other party carrier: GEICO; Coverage: Rideshare TNC coverage; Policy: 103-59XX-8890 (masked); Claim#: CLM865858,CAD147659416,72099,52
2025-DC-262679,Thao Dang,F,"1600 block of John Daly Blvd, Daly City, CA 94014",Westlake,94014,(650) 555-0114,2025-09-23,01:25,Night,"Gellert Blvd & John Daly Blvd, Daly City, CA 94014",Daly City,Daly City PD,Traffic Collision - Vehicle vs Bicycle,Citation Issued,"Traffic Collision - Vehicle vs Bicycle reported at Gellert Blvd & John Daly Blvd, Daly City, CA 94014. She sustained minor injury to the leg. Body-worn camera available.",Minor,leg,4,Yes,,,No,Rear-end,Yes,Unknown,CAD511189074,85384,53
2025-B-820544,Lucia Torres,F,"700 block of University Ave, Berkeley, CA 94710",Downtown,94702,(510) 555-0106,2025-09-21,19:15,Evening,"Shattuck Ave & University Ave, Berkeley, CA 94703",Berkeley,BPD,Transit Incident - BART,Cleared - Exceptional,"Transit Incident - BART reported at Shattuck Ave & University Ave, Berkeley, CA 94703. She sustained minor injury to the arm. Body-worn camera not available.",Minor,arm,1,Yes,,,No,,,Not applicable (non-vehicle incident),CAD375191871,92537,32
2025-RC-117933,Daniel Lin,M,"1700 block of Woodside Rd, Redwood City, CA 94061",Palm Park,94061,(650) 555-0157,2025-09-01,19:10,Evening,"Broadway & Jefferson Ave, Redwood City, CA 94063",Redwood City,RWC PD,E-Scooter Collision,Unfounded,"E-Scooter Collision reported at Broadway & Jefferson Ave, Redwood City, CA 94063. He sustained moderate injury to the back. Transported to UCSF Parnassus by Rural/Metro. Body-worn camera not available.",Moderate,back,0,No,UCSF Parnassus,Rural/Metro,No,Right hook,Yes,Declined,CAD337209661,79943,23
2025-F-805942,Victor Gao,M,"1400 block of Automall Pkwy, Fremont, CA 94538",Mission San Jose,94536,(510) 555-0181,2025-09-05,10:10,Morning,"Automall Pkwy & Mowry Ave, Fremont, CA 94536",Fremont,Fremont PD,Dog Bite,Report Taken,"Dog Bite occurred at Automall Pkwy & Mowry Ave, Fremont, CA 94536. He sustained minor injury to the head. Body-worn camera available.",Minor,head,1,Yes,,,No,,,Provided - Other party carrier: GEICO; Coverage: Full coverage; Policy: 223-62XX-7034 (masked); Claim#: CLM610682,CAD818265379,79216,69
2025-F-265105,Luis Gonzalez,M,"900 block of Mission Blvd, Fremont, CA 94538",Mission San Jose,94538,(510) 555-0161,2025-09-02,05:35,Night,"Mission Blvd & Automall Pkwy, Fremont, CA 94538",Fremont,Fremont PD,Traffic Collision - Vehicle vs Bicycle,Citation Issued,"Traffic Collision - Vehicle vs Bicycle reported at Mission Blvd & Automall Pkwy, Fremont, CA 94538. He sustained minor injury to the leg. Body-worn camera not available.",Minor,leg,2,Yes,,,No,Loss of control,Undetermined,Provided - Claimant carrier: GEICO; Coverage: Full coverage; Policy: 959-30XX-7687 (masked); Claim#: CLM389199,CAD673208286,1944,32
2025-SJ-496662,Christopher Smith,M,"1600 block of Monterey Rd, San Jose, CA 95128",Berryessa,95112,(669) 555-0151,2025-09-14,02:45,Night,"Story Rd & Capitol Expy, San Jose, CA 95116",San Jose,SJPD,DUI Related Collision,Report Taken,"DUI Related Collision reported at Story Rd & Capitol Expy, San Jose, CA 95116. He sustained minor injury to the shoulder. Body-worn camera available.",Minor,shoulder,2,Yes,,,Yes,Side-swipe,No,Provided - Other party carrier: USAA; Coverage: Rideshare TNC coverage; Policy: 543-58XX-5739 (masked); Claim#: CLM455713,CAD538561167,69324,56
2025-SM-179269,Carla Hernandez,F,"1000 block of Hillsdale Blvd, San Mateo, CA 94403",Hillsdale,94401,(650) 555-0196,2025-09-26,17:55,Afternoon,"Hillsdale Blvd & 3rd Ave, San Mateo, CA 94402",San Mateo,SMPD,Rideshare Incident (Uber/Lyft),Open or Active Investigation,"Rideshare Incident (Uber/Lyft) reported at Hillsdale Blvd & 3rd Ave, San Mateo, CA 94402. She sustained minor injury to the knee. Body-worn camera available.",Minor,knee,1,No,,,No,,,Provided - Claimant carrier: State Farm; Coverage: Rideshare TNC coverage; Policy: 492-53XX-7731 (masked); Claim#: CLM922136,CAD539195351,64197,50
2025-RC-721977,Angelica Garcia,F,"500 block of Woodside Rd, Redwood City, CA 94063",Palm Park,94063,(650) 555-0172,2025-09-15,01:20,Night,"Woodside Rd & Jefferson Ave, Redwood City, CA 94063",Redwood City,RWC PD,E-Scooter Collision,Report Taken,"E-Scooter Collision reported at Woodside Rd & Jefferson Ave, Redwood City, CA 94063. She sustained moderate injury to the leg. Transported to Zuckerberg San Francisco General Hospital by SFFD EMS. Body-worn camera available.",Moderate,leg,2,No,Zuckerberg San Francisco General Hospital,SFFD EMS,No,Right hook,No,Provided - Claimant carrier: Allstate; Coverage: Non-owner policy; Policy: 174-31XX-3833 (masked); Claim#: CLM646502,CAD829664420,11686,69
2025-SF-567459,Nisha Singh,F,"800 block of Folsom St, San Francisco, CA 94112",Bayview,94107,(415) 555-0185,2025-09-10,04:40,Night,"Mission St & Van Ness Ave, San Francisco, CA 94124",San Francisco,SFPD,Hit and Run,Report Taken,"Hit and Run reported at Mission St & Van Ness Ave, San Francisco, CA 94124. She sustained minor injury to the hand. Body-worn camera available.",Minor,hand,4,Yes,,,No,,Yes,Provided - Other party carrier: GEICO; Coverage: Liability only; Policy: 917-48XX-8447 (masked); Claim#: CLM284579,CAD828841680,21284,28
2025-B-130062,Pooja Kumar,F,"900 block of Telegraph Ave, Berkeley, CA 94703",West Berkeley,94704,(510) 555-0194,2025-09-03,16:05,Afternoon,"Shattuck Ave & Ashby Ave, Berkeley, CA 94702",Berkeley,BPD,Hit and Run,Open or Active Investigation,"Hit and Run reported at Shattuck Ave & Ashby Ave, Berkeley, CA 94702. She sustained minor injury to the leg. Body-worn camera available.",Minor,leg,2,Yes,,,No,,Yes,Unknown,CAD294780265,19186,83
2025-DC-761617,Kevin Zhou,M,"800 block of John Daly Blvd, Daly City, CA 94015",Top of the Hill,94014,(650) 555-0124,2025-09-17,15:05,Afternoon,"Gellert Blvd & John Daly Blvd, Daly City, CA 94014",Daly City,Daly City PD,Dog Bite,Report Taken,"Dog Bite occurred at Gellert Blvd & John Daly Blvd, Daly City, CA 94014. He sustained moderate injury to the hip. Transported to Zuckerberg San Francisco General Hospital by Falck. Body-worn camera not available.",Moderate,hip,0,Yes,Zuckerberg San Francisco General Hospital,Falck,No,,,Not applicable (non-vehicle incident),CAD644726720,18162,53
2025-SM-234580,Carlos Martinez,M,"100 block of El Camino Real, San Mateo, CA 94402",Downtown,94401,(650) 555-0132,2025-09-23,11:50,Morning,"3rd Ave & Delaware St, San Mateo, CA 94402",San Mateo,SMPD,Hit and Run,Citation Issued,"Hit and Run reported at 3rd Ave & Delaware St, San Mateo, CA 94402. He sustained moderate injury to the hip. Transported to Stanford Hospital by Rural/Metro. Body-worn camera available.",Moderate,hip,1,Yes,Stanford Hospital,Rural/Metro,No,,Yes,Provided - Other party carrier: Nationwide; Coverage: Full coverage; Policy: 668-65XX-5037 (masked); Claim#: CLM529095,CAD143207697,65622,52
2025-RC-733671,Joy Ramos,F,"700 block of Woodside Rd, Redwood City, CA 94063",Redwood Oaks,94061,(650) 555-0126,2025-09-06,04:25,Night,"Woodside Rd & Broadway, Redwood City, CA 94063",Redwood City,RWC PD,DUI Related Collision,Report Taken,"DUI Related Collision reported at Woodside Rd & Broadway, Redwood City, CA 94063. She sustained minor injury to the face. Body-worn camera not available.",Minor,face,0,Yes,,,Yes,Rear-end,Yes,Provided - Claimant carrier: State Farm; Coverage: Liability only; Policy: 778-87XX-9695 (masked); Claim#: CLM958721,CAD211932312,72404,36
2025-RC-867655,Emily Smith,F,"1300 block of Woodside Rd, Redwood City, CA 94061",Redwood Oaks,94063,(650) 555-0104,2025-09-03,20:50,Evening,"Woodside Rd & Jefferson Ave, Redwood City, CA 94061",Redwood City,RWC PD,DUI Related Collision,"Arrest, Booked","DUI Related Collision reported at Woodside Rd & Jefferson Ave, Redwood City, CA 94061. She sustained minor injury to the chest. Body-worn camera available.",Minor,chest,2,No,,,Yes,Side-swipe,Yes,Unknown,CAD496565163,21425,76
2025-SM-380124,Emily Huang,F,"100 block of Delaware St, San Mateo, CA 94401",Downtown,94402,(650) 555-0184,2025-09-02,11:05,Morning,"Hillsdale Blvd & Delaware St, San Mateo, CA 94403",San Mateo,SMPD,Bicycle Collision - Solo,Open or Active Investigation,"Bicycle Collision - Solo reported at Hillsdale Blvd & Delaware St, San Mateo, CA 94403. She sustained minor injury to the head. Body-worn camera available.",Minor,head,1,Yes,,,No,Right hook,Undetermined,Provided - Claimant carrier: Mercury; Coverage: Liability only; Policy: 971-82XX-2239 (masked); Claim#: CLM767758,CAD315306413,31456,24
2025-DC-409440,Eric Wu,M,"1900 block of Gellert Blvd, Daly City, CA 94014",Serramonte,94014,(650) 555-0106,2025-09-01,13:25,Afternoon,"Serramonte Blvd & John Daly Blvd, Daly City, CA 94015",Daly City,Daly City PD,Hit and Run,Report Taken,"Hit and Run reported at Serramonte Blvd & John Daly Blvd, Daly City, CA 94015. He sustained minor injury to the chest. Body-worn camera available.",Minor,chest,6,Yes,,,Yes,,Undetermined,Provided - Other party carrier: State Farm; Coverage: Rideshare TNC coverage; Policy: 483-55XX-3625 (masked); Claim#: CLM336689,CAD233930812,79723,42
2025-DC-909938,Jennifer Young,F,"1600 block of Gellert Blvd, Daly City, CA 94014",Serramonte,94014,(650) 555-0113,2025-09-27,21:20,Evening,"John Daly Blvd & Gellert Blvd, Daly City, CA 94014",Daly City,Daly City PD,Transit Incident - BART,Report Taken,"Transit Incident - BART reported at John Daly Blvd & Gellert Blvd, Daly City, CA 94014. She sustained moderate injury to the head. Transported to Kaiser Oakland by Falck. Body-worn camera available.",Moderate,head,1,No,Kaiser Oakland,Falck,No,,,Unknown,CAD772346174,60945,26
2025-SJ-335113,Raj Singh,M,"600 block of Capitol Expy, San Jose, CA 95128",Willow Glen,95123,(669) 555-0144,2025-09-07,08:25,Morning,"Santa Clara St & Monterey Rd, San Jose, CA 95116",San Jose,SJPD,Slip/Trip and Fall (Public Way),Report Taken,"Slip/Trip and Fall (Public Way) occurred at Santa Clara St & Monterey Rd, San Jose, CA 95116. He sustained moderate injury to the arm. Transported to UCSF Parnassus by Rural/Metro. Body-worn camera not available.",Moderate,arm,0,Yes,UCSF Parnassus,Rural/Metro,No,,,Provided - Other party carrier: State Farm; Coverage: Commercial policy; Policy: 328-46XX-7807 (masked); Claim#: CLM109592,CAD926672233,55653,22
2025-DC-972470,David Smith,M,"900 block of John Daly Blvd, Daly City, CA 94015",Top of the Hill,94014,(650) 555-0117,2025-09-26,14:00,Afternoon,"Serramonte Blvd & John Daly Blvd, Daly City, CA 94015",Daly City,Daly City PD,Slip/Trip and Fall (Public Way),Open or Active Investigation,"Slip/Trip and Fall (Public Way) occurred at Serramonte Blvd & John Daly Blvd, Daly City, CA 94015. He sustained moderate injury to the hip. Transported to San Mateo Medical Center by Rural/Metro. Body-worn camera available.",Moderate,hip,1,Yes,San Mateo Medical Center,Rural/Metro,No,,,Provided - Claimant carrier: AAA (CSAA); Coverage: Commercial policy; Policy: 256-55XX-3971 (masked); Claim#: CLM987232,CAD472635526,81175,25
2025-DC-455804,Tony Chen,M,"800 block of Gellert Blvd, Daly City, CA 94014",Serramonte,94014,(650) 555-0127,2025-08-30,00:45,Night,"Gellert Blvd & Mission St, Daly City, CA 94015",Daly City,Daly City PD,Slip/Trip and Fall (Public Way),Report Taken,"Slip/Trip and Fall (Public Way) occurred at Gellert Blvd & Mission St, Daly City, CA 94015. He sustained moderate injury to the knee. Transported to Zuckerberg San Francisco General Hospital by AMR. Body-worn camera available.",Moderate,knee,0,No,Zuckerberg San Francisco General Hospital,AMR,No,,,Provided - Other party carrier: Progressive; Coverage: Rideshare TNC coverage; Policy: 803-33XX-8465 (masked); Claim#: CLM986121,CAD582378879,10205,45
2025-H-402935,Angelo Flores,M,"1600 block of Hesperian Blvd, Hayward, CA 94545",Southgate,94545,(925) 555-0133,2025-08-31,15:40,Afternoon,"Hesperian Blvd & Tennyson Rd, Hayward, CA 94541",Hayward,HPD,Traffic Collision - Vehicle vs Bicycle,Citation Issued,"Traffic Collision - Vehicle vs Bicycle reported at Hesperian Blvd & Tennyson Rd, Hayward, CA 94541. He sustained moderate injury to the wrist. Transported to San Mateo Medical Center by Rural/Metro. Body-worn camera available.",Moderate,wrist,2,Yes,San Mateo Medical Center,Rural/Metro,Yes,Dooring,Undetermined,Provided - Claimant carrier: State Farm; Coverage: Full coverage; Policy: 636-69XX-5451 (masked); Claim#: CLM747380,CAD307083460,62582,54
2025-O-142745,Christopher King,M,"1200 block of Telegraph Ave, Oakland, CA 94602",Downtown,94601,(510) 555-0126,2025-09-02,22:40,Evening,"San Pablo Ave & International Blvd, Oakland, CA 94612",Oakland,OPD,Assault - Non-Aggravated,Report Taken,"Assault - Non-Aggravated occurred at San Pablo Ave & International Blvd, Oakland, CA 94612. He sustained moderate injury to the back. Transported to San Mateo Medical Center by SFFD EMS. Body-worn camera available.",Moderate,back,2,No,San Mateo Medical Center,SFFD EMS,No,,,No proof of insurance provided,CAD848255954,56655,76
2025-DC-327436,James Harris,M,"900 block of Gellert Blvd, Daly City, CA 94014",Top of the Hill,94014,(650) 555-0112,2025-09-21,21:55,Evening,"Gellert Blvd & Serramonte Blvd, Daly City, CA 94014",Daly City,Daly City PD,Transit Incident - BART,"Arrest, Booked","Transit Incident - BART reported at Gellert Blvd & Serramonte Blvd, Daly City, CA 94014. He sustained severe injury to the ankle. Transported to San Mateo Medical Center by Falck. Body-worn camera available.",Severe,ankle,3,Yes,San Mateo Medical Center,Falck,No,,,Provided - Claimant carrier: Progressive; Coverage: Liability only; Policy: 260-59XX-2466 (masked); Claim#: CLM642418,CAD127406769,34021,74
2025-F-414093,Jessica Thompson,F,"1400 block of Mission Blvd, Fremont, CA 94539",Centerville,94539,(510) 555-0130,2025-08-28,18:15,Evening,"Grimmer Blvd & Automall Pkwy, Fremont, CA 94539",Fremont,Fremont PD,Assault - Aggravated,Citation Issued,"Assault - Aggravated occurred at Grimmer Blvd & Automall Pkwy, Fremont, CA 94539. She sustained minor injury to the ankle. Body-worn camera not available.",Minor,ankle,0,Yes,,,No,,,Provided - Other party carrier: Nationwide; Coverage: Commercial policy; Policy: 663-16XX-1530 (masked); Claim#: CLM778273,CAD561056785,16528,39
2025-SM-498122,Sanjay Singh,M,"400 block of El Camino Real, San Mateo, CA 94403",Hillsdale,94402,(650) 555-0102,2025-09-07,01:30,Night,"Hillsdale Blvd & El Camino Real, San Mateo, CA 94403",San Mateo,SMPD,Construction Site Accident,"Arrest, Booked","Construction Site Accident occurred at Hillsdale Blvd & El Camino Real, San Mateo, CA 94403. He sustained moderate injury to the face. Transported to Kaiser Oakland by AMR. Body-worn camera available.",Moderate,face,2,Yes,Kaiser Oakland,AMR,No,,,Provided - Claimant carrier: Liberty Mutual; Coverage: Non-owner policy; Policy: 960-22XX-3368 (masked); Claim#: CLM164626,CAD829722855,44708,47
2025-H-963711,Priya Gupta,F,"1500 block of Hesperian Blvd, Hayward, CA 94541",Southgate,94544,(925) 555-0156,2025-09-27,08:40,Morning,"A St & Tennyson Rd, Hayward, CA 94544",Hayward,HPD,Transit Incident - Muni,"Arrest, Booked","Transit Incident - Muni reported at A St & Tennyson Rd, Hayward, CA 94544. She sustained minor injury to the hip. Body-worn camera not available.",Minor,hip,1,Yes,,,No,,,Provided - Other party carrier: AAA (CSAA); Coverage: Liability only; Policy: 933-12XX-9215 (masked); Claim#: CLM964829,CAD428306521,65624,75
